11 00;  81 41;  、
EC 03;  96 f3;  訳
ED 03;  90 5b;  深
EE 03;  97 65;  容
EF 03;  8b 59;  戯
F0 03;  91 e8;  題
F1 03;  8b c9;  極
F2 03;  8e 67;  使
F3 03;  97 98;  利
F4 03;  95 d2;  編
F5 03;  94 c2;  板
F6 03;  95 7a;  布
F7 03;  8b e2;  銀
F8 03;  8e 85;  糸
F9 03;  8f 7c;  楯
FA 03;  89 7e;  円
FB 03;  8c 79;  軽
FC 03;  8a 95;  兜
FD 03;  91 6f;  双
FE 03;  90 45;  職
FF 03;  8d 62;  甲
00 04;  8d 81;  香
01 04;  92 b9;  鳥
02 04;  90 58;  森
03 04;  92 b2;  調
04 04;  8c cc;  故
05 04;  8c 93;  兼
06 04;  89 d9;  菓
07 04;  8e ec;  珠
08 04;  91 6a;  阻
09 04;  89 72;  詠
0A 04;  8f a5;  唱
0B 04;  96 ec;  野
0C 04;  8f a2;  召
0D 04;  8a ab;  喚
0E 04;  94 9a;  爆
0F 04;  8d 5e;  洪
10 04;  88 c5;  闇
11 04;  8e a6;  示
12 04;  8d 5c;  構
13 04;  90 47;  触
14 04;  97 63;  幼
15 04;  8a 47;  絵
16 04;  88 b3;  圧
17 04;  8b 97;  距
18 04;  90 4e;  侵
19 04;  97 f3;  烈
1A 04;  97 df;  令
1B 04;  97 f1;  列
1C 04;  8f fc;  飾
1D 04;  8b 74;  逆
1E 04;  8c c5;  固
1F 04;  95 c2;  閉
20 04;  90 47;  触
21 04;  96 d9;  黙
22 04;  93 d8;  豚
23 04;  92 5f;  胆
24 04;  9b de;  巫
25 04;  97 7d;  抑
26 04;  94 4c;  猫
27 04;  8c 43;  靴
28 04;  89 8c;  煙
29 04;  94 e0;  扉
2A 04;  89 73;  鋭
2B 04;  92 57;  淡
2C 04;  8a a6;  寒
2D 04;  91 a1;  贈
2E 04;  92 62;  鍛
2F 04;  8d ed;  削
30 04;  8a 70;  角
31 04;  8e 7b;  施
32 04;  8c b6;  幻
33 04;  95 9d;  幅
34 04;  96 44;  縫
35 04;  8b b9;  胸
36 04;  95 a2;  覆
37 04;  e0 e6;  琥
38 04;  e0 df;  珀
39 04;  8c 66;  掲
3A 04;  95 a6;  沸
3B 04;  96 58;  帽
3C 04;  96 cd;  模
3D 04;  8f c4;  焼
3E 04;  8d d8;  菜
3F 04;  90 7c;  酢
40 04;  94 d1;  飯
41 04;  8a c3;  甘
42 04;  8e 5f;  酸
43 04;  93 68;  塗
44 04;  93 90;  盗
45 04;  91 af;  賊
46 04;  90 44;  織
47 04;  8a bf;  漢
48 04;  93 e4;  謎
49 04;  8a f8;  旗
4A 04;  97 83;  翼
4B 04;  8a db;  丸
4C 04;  8a e2;  岩
4D 04;  95 f6;  崩
4E 04;  92 e1;  低
4F 04;  8d 7e;  降
50 04;  8d cb;  才
51 04;  8e a8;  耳
52 04;  97 92;  嵐
53 04;  94 52;  燃
54 04;  90 81;  吹
55 04;  89 9f;  押
56 04;  98 63;  歪
57 04;  e8 a6;  隕
58 04;  96 b6;  霧
59 04;  93 8a;  投
5A 04;  91 67;  組
5B 04;  91 49;  選
5C 04;  8c 99;  嫌
5D 04;  91 d6;  替
5E 04;  95 c0;  並
5F 04;  8f e0;  鐘
60 04;  8b 7e;  救
61 04;  8a 7c;  掛
62 04;  98 4c;  廊
63 04;  91 8b;  窓
64 04;  8d db;  際
65 04;  8e ef;  趣
66 04;  93 ad;  働
67 04;  96 81;  磨
68 04;  94 59;  悩
69 04;  92 70;  恥
6A 04;  8b 93;  挙
6B 04;  8d b7;  差
6C 04;  90 4c;  伸
6D 04;  96 fb;  油
6E 04;  94 8c;  伯
6F 04;  92 a2;  弔
70 04;  92 96;  猪
71 04;  90 d3;  責
72 04;  8e e2;  寂
73 04;  8c e2;  娯
74 04;  93 7d;  党
75 04;  91 7c;  掃
76 04;  89 d2;  稼
77 04;  8d 72;  荒
78 04;  8e f1;  首
79 04;  94 e6;  疲
7A 04;  8c 92;  健
7B 04;  8c a2;  犬
7C 04;  8f 5d;  従
7D 04;  8f f7;  譲
7E 04;  8b 81;  求
7F 04;  8a e6;  頑
80 04;  97 e2;  冷
81 04;  90 71;  尋
82 04;  8d a0;  頃
83 04;  97 e3;  励
84 04;  8c 4a;  繰
85 04;  8a f9;  既
86 04;  8d 49;  巧
87 04;  8c d6;  誇
88 04;  96 d2;  猛
89 04;  91 80;  操
8A 04;  8b f0;  愚
8B 04;  92 44;  奪
8C 04;  94 77;  背
8D 04;  8b 80;  朽
8E 04;  8a 89;  渇
8F 04;  92 de;  釣
90 04;  92 40;  叩
91 04;  93 b5;  瞳
92 04;  95 59;  漂
93 04;  90 e8;  占
94 04;  93 9d;  統
95 04;  94 46;  認
96 04;  8d b8;  査
97 04;  8a a8;  勘
98 04;  98 43;  呂
99 04;  95 7e;  敷
9A 04;  91 dd;  貸
9B 04;  96 9d;  慢
9C 04;  8f a4;  商
9D 04;  91 4e;  鮮
9E 04;  91 a9;  束
9F 04;  96 c0;  迷
A0 04;  90 ae;  整
A1 04;  96 59;  忘
A2 04;  8a ec;  喜
A3 04;  94 7d;  媒
A4 04;  8d f4;  策
A5 04;  8c cd;  枯
A6 04;  91 ca;  駄
A7 04;  8b ea;  苦
A8 04;  98 52;  漏
A9 04;  91 7b;  捜
AA 04;  8f 5b;  充
AB 04;  8b b6;  狂
AC 04;  95 f2;  奉
AD 04;  91 9e;  憎
AE 04;  92 51;  嘆
AF 04;  97 5e;  与
B0 04;  8e 97;  似
B1 04;  94 ba;  伴
B2 04;  96 ad;  妙
B3 04;  96 5c;  暴
B4 04;  8b 91;  拒
B5 04;  8a 75;  隔
B6 04;  8f 4c;  臭
B7 04;  8a ef;  奇
B8 04;  89 7a;  越
B9 04;  8a dc;  含
BA 04;  8e c9;  舎
BB 04;  97 ea;  隷
BC 04;  95 ac;  噴
BD 04;  94 9b;  縛
BE 04;  8b 99;  漁
BF 04;  8b ba;  脅
C0 04;  94 97;  迫
C1 04;  93 7b;  怒
C2 04;  8e cc;  捨
C3 04;  8e f6;  授
C4 04;  8c e5;  悟
C5 04;  8d d6;  斎
C6 04;  8a c8;  簡
C7 04;  89 68;  栄
C8 04;  8e 40;  察
C9 04;  89 ab;  沖
CA 04;  90 8c;  酔
CB 04;  92 c0;  賃
CC 04;  95 db;  保
CD 04;  8b f4;  偶
CE 04;  97 a0;  裏
CF 04;  92 aa;  潮
D0 04;  97 62;  傭
D1 04;  95 a0;  腹
D2 04;  90 f6;  潜
D3 04;  8c 8f;  件
D4 04;  93 b1;  導
D5 04;  8f b3;  承
D6 04;  8b c2;  仰
D7 04;  93 a5;  踏
D8 04;  89 42;  隠
D9 04;  90 73;  尽
DA 04;  88 d9;  異
DB 04;  8f ed;  常
DC 04;  94 f7;  微
DD 04;  8f ce;  笑
DE 04;  93 4f;  徹
DF 04;  94 99;  漠
E0 04;  8c ce;  湖
E1 04;  96 ce;  茂
E2 04;  91 91;  荘
E3 04;  8c b5;  厳
E4 04;  8c b5;  厳
E5 04;  94 a7;  肌
E6 04;  89 79;  謁
E7 04;  8a 65;  各
E8 04;  97 b6;  慮
E9 04;  92 b8;  頂
EA 04;  97 61;  預
EB 04;  93 59;  添
EC 04;  92 a3;  張
ED 04;  93 ef;  難
EE 04;  90 6a;  針
EF 04;  95 e9;  暮
F0 04;  89 d4;  花
F1 04;  93 cd;  届
F2 04;  89 f7;  悔
F3 04;  89 b6;  恩
F4 04;  98 54;  狼
F5 04;  96 d1;  毛
F6 04;  98 4a;  労
F7 04;  90 b4;  清
F8 04;  89 b3;  乙
F9 04;  97 90;  乱
FA 04;  8b 70;  却
FB 04;  92 89;  忠
FC 04;  90 bd;  誠
FD 04;  90 be;  誓
FE 04;  91 47;  賎
FF 04;  8c 78;  警
00 05;  8d 90;  告
01 05;  88 c4;  案
02 05;  96 b1;  務
03 05;  95 b5;  雰
04 05;  88 cd;  囲
05 05;  94 ed;  被
06 05;  8a 51;  害
07 05;  89 fa;  戒
08 05;  8f 71;  述
09 05;  8e d3;  謝
0A 05;  8d 98;  腰
0B 05;  97 5a;  融
0C 05;  89 fc;  改
0D 05;  8c f7;  功
0E 05;  8f da;  詳
0F 05;  94 5b;  納
10 05;  8c c2;  個
11 05;  8d a6;  恨
12 05;  8b e5;  句
13 05;  91 6d;  僧
14 05;  8b 5e;  疑
15 05;  96 e2;  問
16 05;  94 f1;  非
17 05;  90 54;  慎
18 05;  95 57;  標
19 05;  8a ae;  完
1A 05;  97 b9;  了
1B 05;  95 a5;  払
1C 05;  91 e4;  台
1D 05;  8e 95;  歯
1E 05;  8e d4;  車
1F 05;  97 5f;  誉
20 05;  96 43;  砲
21 05;  88 d0;  威
22 05;  91 c5;  打
23 05;  95 60;  描
24 05;  96 87;  枚
25 05;  97 6e;  溶
26 05;  8d 96;  獄
27 05;  8f 8b;  暑
28 05;  8f e7;  冗
29 05;  92 6b;  談
2A 05;  91 f5;  託
2B 05;  89 bc;  仮
2C 05;  92 7e;  蓄
2D 05;  93 94;  灯
2E 05;  8c c8;  己
2F 05;  97 dc;  涙
30 05;  93 80;  凍
31 05;  96 57;  妨
32 05;  8e af;  識
33 05;  8c a0;  権
34 05;  96 53;  亡
35 05;  92 c2;  陳
36 05;  91 a3;  促
37 05;  8f c6;  照
38 05;  91 f0;  択
39 05;  8f f0;  条
3A 05;  90 8b;  遂
3B 05;  95 e2;  補
3C 05;  8b 8b;  給
3D 05;  96 f4;  躍
3E 05;  8f 94;  諸
3F 05;  8b bf;  響
40 05;  96 8b;  幕
41 05;  8e 8e;  試
42 05;  97 c2;  猟
43 05;  8b 79;  及
44 05;  9a e2;  壺
45 05;  88 9f;  亜
46 05;  8b a6;  協
47 05;  8a cf;  観
48 05;  96 c2;  鳴
49 05;  8b b7;  狭
4A 05;  8f 6b;  縮
4B 05;  94 cd;  範
4C 05;  8f dc;  賞
4D 05;  96 5b;  房
4E 05;  92 c9;  痛
4F 05;  96 5a;  忙
50 05;  95 a1;  複
51 05;  8a f5;  忌
52 05;  94 95;  舶
53 05;  88 cf;  委
54 05;  8a 42;  械
55 05;  94 b0;  伐
56 05;  92 5b;  端
57 05;  8a ee;  基
58 05;  93 64;  電
59 05;  8e d8;  借
5A 05;  8c f6;  公
5B 05;  94 70;  廃
5C 05;  9a d0;  墟
5D 05;  8e a5;  磁
5E 05;  89 98;  汚
5F 05;  90 cf;  積
60 05;  8f e1;  障
61 05;  90 f9;  旋
62 05;  8d 71;  航
63 05;  91 77;  層
64 05;  8e 5a;  算
65 05;  89 80;  園
66 05;  8d 5a;  校
67 05;  90 dd;  設
68 05;  91 be;  太
69 05;  97 7a;  陽
6A 05;  93 4a;  笛
6B 05;  97 79;  遥
6C 05;  8f ab;  将
6D 05;  93 6b;  徒
6E 05;  8a c7;  管
6F 05;  91 d1;  帯
70 05;  8b 7b;  宮
71 05;  92 ec;  廷
72 05;  8a 46;  皆
73 05;  8b 56;  儀
74 05;  98 49;  露
75 05;  96 9f;  漫
76 05;  94 65;  覇
77 05;  96 76;  没
78 05;  93 44;  泥
79 05;  8f c0;  沼
7A 05;  95 84;  符
7B 05;  89 66;  映
7C 05;  91 5e;  楚
7D 05;  95 d0;  片
7E 05;  93 dc;  曇
7F 05;  94 dc;  妃
80 05;  8c f3;  候
81 05;  8c df;  午
82 05;  8b 69;  喫
83 05;  96 56;  坊
84 05;  8c a3;  献
85 05;  96 4c;  豊
86 05;  8a c2;  環
87 05;  8b ab;  境
88 05;  8a cc;  肝
89 05;  91 aa;  測
8A 05;  8c ad;  遣
8B 05;  8c 65;  憩
8C 05;  97 8d;  絡
8D 05;  89 b7;  温
8E 05;  90 f2;  泉
8F 05;  8a bb;  棺
90 05;  97 d7;  隣
91 05;  98 66;  惑
92 05;  8b 90;  巨
93 05;  90 84;  推
94 05;  8c 68;  敬
95 05;  8c ee;  乞
96 05;  96 95;  抹
97 05;  8b bb;  興
98 05;  8d 69;  絞
99 05;  92 8e;  虫
9A 05;  8f cb;  祥
9B 05;  8e 8b;  視
9C 05;  94 5a;  濃
9D 05;  94 ca;  般
9E 05;  90 62;  臣
9F 05;  95 7c;  怖
A0 05;  8f c7;  症
A1 05;  8c c9;  庫
A2 05;  89 7b;  閲
A3 05;  97 97;  覧
A4 05;  91 98;  遭
A5 05;  8b f6;  遇
A6 05;  92 8c;  柱
A7 05;  8d da;  載
A8 05;  8d f0;  昨
A9 05;  89 87;  援
AA 05;  8b a9;  叫
AB 05;  97 cc;  領
AC 05;  94 4d;  熱
AD 05;  8d cf;  済
AE 05;  88 d7;  為
AF 05;  8a 94;  株
B0 05;  8b 5d;  犠
B1 05;  90 b5;  牲
B2 05;  90 aa;  征
B3 05;  8c dd;  互
B4 05;  94 d5;  盤
B5 05;  e7 f7;  銷
B6 05;  93 57;  展
B7 05;  91 74;  奏
B8 05;  89 89;  演
B9 05;  90 b0;  晴
BA 05;  94 79;  輩
BB 05;  8f 88;  処
BC 05;  91 d7;  泰
BD 05;  89 c4;  夏
BE 05;  8f 74;  春
BF 05;  89 6a;  泳
C0 05;  8d 51;  慌
C1 05;  97 91;  卵
C2 05;  8d 53;  拘
C3 05;  94 af;  髪
C4 05;  90 82;  垂
C5 05;  92 7c;  竹
C6 05;  94 df;  悲
C7 05;  97 b0;  硫
C8 05;  8a 92;  樺
C9 05;  94 5d;  脳
CA 05;  8a f7;  机
CB 05;  97 c1;  涼
CC 05;  96 5f;  棒
CD 05;  8e 99;  児
CE 05;  8b d9;  緊
CF 05;  95 c4;  米
D0 05;  8d 58;  更
D1 05;  8f 41;  就
D2 05;  8e 91;  資
D3 05;  8f c2;  渉
D4 05;  8b c7;  局
D5 05;  8d 9b;  惚
D6 05;  91 c7;  舵
D7 05;  94 bf;  帆
D8 05;  8c 4d;  勲
D9 05;  8e b7;  執
DA 05;  9d 58;  拗
DB 05;  98 5f;  論
DC 05;  92 a9;  朝
DD 05;  96 63;  膨
DE 05;  8a 6b;  殻
DF 05;  8f 45;  拾
E0 05;  8a af;  官
E1 05;  8e dc;  灼
E2 05;  94 72;  排
E3 05;  8e a1;  治
E4 05;  94 e4;  比
E5 05;  8a 72;  較
E6 05;  89 d3;  箇
E7 05;  95 5d;  評
E8 05;  90 ad;  政
E9 05;  90 fc;  線
EA 05;  90 e9;  宣
EB 05;  95 b4;  紛
EC 05;  8e ab;  辞
ED 05;  9c 61;  彗
EE 05;  92 f6;  程
EF 05;  90 4b;  尻
F0 05;  92 8b;  昼
F1 05;  95 c8;  癖
F2 05;  8c 9d;  拳
F3 05;  95 ef;  包
F4 05;  94 bb;  判
F5 05;  97 48;  幽
F6 05;  93 7e;  冬
F7 05;  8c 9f;  検
F8 05;  8e 87;  紫
F9 05;  94 67;  波
FA 05;  8e e3;  弱
FB 05;  95 78;  富
FC 05;  8e 81;  氏
FD 05;  8f cc;  称
FE 05;  8e 98;  侍
FF 05;  98 51;  浪
00 06;  97 be;  寮
01 06;  95 d7;  勉
02 06;  8f c5;  焦
03 06;  93 f0;  汝
04 06;  90 c9;  惜
05 06;  95 72;  瓶
06 06;  9d 7c;  掟
07 06;  89 b8;  穏
08 06;  95 85;  腐
09 06;  88 e7;  育
0A 06;  97 67;  揚
0B 06;  92 4f;  丹
0C 06;  8e 7c;  旨
0D 06;  8b ca;  玉
0E 06;  8c 73;  茎
0F 06;  8a 44;  灰
10 06;  93 fb;  乳
11 06;  8e cf;  煮
12 06;  8b 6c;  詰
13 06;  89 d8;  華
14 06;  97 ed;  麗
15 06;  93 45;  摘
16 06;  93 b6;  童
17 06;  90 ec;  川
18 06;  8a a0;  刈
19 06;  90 86;  炊
1A 06;  e0 f8;  璧
1B 06;  91 65;  粗
1C 06;  94 8f;  拍
1D 06;  88 e3;  医
1E 06;  93 ba;  銅
1F 06;  8d df;  罪
20 06;  88 c9;  伊
21 06;  89 ea;  賀
22 06;  8c 49;  栗
23 06;  94 56;  之
24 06;  8a d1;  貫
25 06;  8c 7d;  迎
26 06;  90 6d;  仁
27 06;  8a fc;  棄
28 06;  8c 59;  刑
29 06;  8f b6;  掌
2A 06;  8d e0;  財
2B 06;  90 98;  据
2C 06;  8a f4;  幾
2D 06;  97 6d;  洋
2E 06;  8b e6;  区
2F 06;  90 d1;  績
30 06;  8c 51;  群
31 06;  8a 7a;  額
32 06;  92 53;  担
33 06;  8b 4b;  規
34 06;  91 a5;  則
35 06;  91 f3;  濯
36 06;  8a 52;  崖
37 06;  94 c6;  犯
38 06;  8b bd;  郷
39 06;  91 71;  倉
3A 06;  8e f5;  寿
3B 06;  97 7b;  養
3C 06;  8a 6e;  穫
3D 06;  8a b8;  敢
3E 06;  8d 76;  貢
3F 06;  98 56;  老
40 06;  8c 85;  桁
41 06;  98 67;  枠
42 06;  89 46;  宇
43 06;  92 88;  宙
44 06;  8e 9c;  慈
45 06;  90 8a;  衰
46 06;  96 4a;  褒
47 06;  97 4e;  湧
48 06;  90 5a;  浸
49 06;  95 6d;  瀕
4A 06;  91 a0;  蔵
4B 06;  91 ad;  俗
4C 06;  8d ce;  歳
4D 06;  8e ad;  鹿
4E 06;  93 db;  呑
4F 06;  8c 67;  携
50 06;  e6 90;  謳
51 06;  8e 7d;  枝
52 06;  89 c5;  嫁
53 06;  93 77;  努
54 06;  94 e2;  披
55 06;  8d f7;  桜
56 06;  89 74;  液
57 06;  98 42;  錬
58 06;  8c 87;  欠
59 06;  8d cc;  採
5A 06;  92 7a;  築
5B 06;  90 68;  辛
5C 06;  89 be;  伽
5D 06;  97 85;  羅
5E 06;  92 68;  檀
5F 06;  91 94;  藻
60 06;  8a a3;  乾
61 06;  91 87;  燥
62 06;  8f 6e;  熟
63 06;  93 ee;  軟
64 06;  92 59;  炭
65 06;  93 4b;  適
66 06;  8d 79;  酵
67 06;  8e 92;  賜
68 06;  8c b7;  弦
70 06;  8f b7;  捷
71 06;  87 57;  Ⅳ
72 06;  88 ea;  一
73 06;  93 f1;  二
74 06;  8e 4f;  三
75 06;  8e 6c;  四
76 06;  8c dc;  五
77 06;  98 5a;  六
78 06;  8e b5;  七
79 06;  94 aa;  八
7A 06;  8b e3;  九
7B 06;  8f 5c;  十
7C 06;  95 53;  百
7D 06;  90 e7;  千
7E 06;  96 9c;  万
7F 06;  89 ad;  億
80 06;  95 c3;  陛
81 06;  96 61;  紡
82 06;  90 bf;  請
83 06;  95 77;  婦
84 06;  91 5f;  狙
85 06;  8e df;  釈
86 06;  90 52;  審
87 06;  93 71;  賭
88 06;  94 a0;  箱
89 06;  96 a3;  魅
8A 06;  94 db;  否
8B 06;  8a 76;  革
8C 06;  95 d9;  弁
8D 06;  91 50;  善
8E 06;  8a b5;  慣
8F 06;  91 ee;  宅
90 06;  92 45;  脱
91 06;  92 76;  致
92 06;  8c 58;  傾
93 06;  90 8a;  衰
94 06;  8c 50;  訓
95 06;  8c 80;  劇
96 06;  8d 8c;  轟
97 06;  98 68;  鷲
98 06;  89 48;  羽
99 06;  8e be;  疾
9A 06;  8f d5;  衝
9B 06;  93 6a;  屠
9C 06;  97 b4;  龍
9D 06;  8e ca;  写
9E 06;  8d 6a;  綱
9F 06;  99 d6;  曼
A0 06;  8a 99;  鎌
A1 06;  ea 8c;  鼬
A2 06;  8d 64;  硬
A3 06;  91 8d;  総
A4 06;  93 92;  湯
A5 06;  8b c1;  驚
A6 06;  96 fc;  癒
A7 06;  98 55;  篭
A8 06;  93 9e;  到
A9 06;  97 81;  浴
AA 06;  92 f1;  提
AB 06;  8c 62;  恵
AC 06;  8e 94;  飼
AD 06;  95 70;  頻
AE 06;  8a d3;  鑑
AF 06;  8a c4;  監
B0 06;  89 51;  渦
B1 06;  92 d7;  潰
B2 06;  8f 52;  蹴
B8 06;  92 c3;  津
B9 06;  97 ce;  緑
BA 06;  95 62;  秒
BB 06;  89 a1;  横
BC 06;  96 d7;  儲
BD 06;  8e bc;  湿
BE 06;  95 9b;  副
BF 06;  98 59;  郎
C0 06;  8f f6;  蒸
C1 06;  89 f9;  懐
C2 06;  93 b0;  堂
C3 06;  8c cb;  戸
C4 06;  90 a5;  是
C5 06;  95 a7;  仏
C6 06;  8e 53;  惨
C7 06;  95 bf;  柄
C8 06;  8f 4f;  衆
